index_mol,FEB
1,-5.7
2,-6
3,-5.6
4,-5.6
5,-5.6
6,-5.7
7,-6.2
8,-5.2
9,-5.5
10,-5.1
11,-5.3
12,-5.7
13,-5.7
14,-5.7
15,-6.8
16,-5.4
17,-5.7
18,-6.9
19,-6.2
20,-6.9
21,-5.8
22,-6.4
23,-6.6
24,-7.7
25,-5.6
26,-5.3
27,-5.2
28,-6.3
29,-4.6
30,-5.9
31,-5.3
32,-5.5
33,-5.6
34,-5
35,-4.9
36,-5.1
37,-5.8
38,-5.7
39,-5.8
40,-6.3
41,-6.5
42,-6.7
43,-5.8
44,-6.3
45,-6.2
46,-6.5
47,-5.5
48,-6.3
49,-6.2
50,-6.2
51,-5.7
52,-5.6
53,-5.3
54,-5.2
55,-5.6
56,-5.6
57,-5.7
58,-5.9
59,-6.3
60,-6.3
61,-5.7
62,-4.5
63,-4.7
64,-6.2
65,-4.8
66,-5.7
67,-4.7
68,-4.5
69,-5.2
70,-5.5
71,-5.6
72,-5.9
73,-4.2
74,-5.4
75,-5.6
76,-5.6
77,-5.3
78,-5.3
79,-5.6
80,-4.7
81,-6.4
82,-6.6
83,-5.3
